order_id,ready_to_ship_date,pickup_date
CA-2019-116540,2019-09-02,2019-09-03
CA-2019-116540,2019-09-02,2019-09-03
CA-2019-129847,2019-09-04,2019-09-04
CA-2019-129630,2019-09-04,2019-09-04
CA-2019-106278,2019-09-05,2019-09-06
CA-2019-158099,2019-09-05,2019-09-06
CA-2019-106278,2019-09-05,2019-09-06
CA-2019-132143,2019-09-05,2019-09-06
CA-2019-158099,2019-09-05,2019-09-06
CA-2019-126732,2019-09-06,2019-09-09
CA-2019-106950,2019-09-06,2019-09-09
CA-2019-130407,2019-09-06,2019-09-09
CA-2019-106950,2019-09-06,2019-09-09
CA-2019-106950,2019-09-06,2019-09-09
US-2019-101616,2019-09-06,2019-09-06
CA-2019-106950,2019-09-06,2019-09-09
CA-2019-126732,2019-09-06,2019-09-09
CA-2019-126732,2019-09-06,2019-09-09
CA-2019-106950,2019-09-06,2019-09-09
CA-2019-126732,2019-09-06,2019-09-09
CA-2019-169971,2019-09-09,2019-09-11
CA-2019-142524,2019-09-09,2019-09-11
CA-2019-142524,2019-09-09,2019-09-11
CA-2019-144764,2019-09-09,2019-09-11
US-2019-147711,2019-09-09,2019-09-11
CA-2019-149783,2019-09-09,2019-09-11
CA-2019-131205,2019-09-09,2019-09-11
CA-2019-102981,2019-09-09,2019-09-11
CA-2019-145240,2019-09-09,2019-09-09
CA-2019-123120,2019-09-09,2019-09-11
CA-2019-149783,2019-09-09,2019-09-11
CA-2019-131205,2019-09-09,2019-09-11
CA-2019-131205,2019-09-09,2019-09-11
CA-2019-144764,2019-09-09,2019-09-11
US-2019-100566,2019-09-09,2019-09-11
US-2019-147711,2019-09-09,2019-09-11
CA-2019-123120,2019-09-09,2019-09-11
CA-2019-144764,2019-09-09,2019-09-11
US-2019-147711,2019-09-09,2019-09-11
CA-2019-123120,2019-09-09,2019-09-11
CA-2019-117604,2019-09-09,2019-09-11
CA-2019-163986,2019-09-10,2019-09-11
CA-2019-149223,2019-09-11,2019-09-13
CA-2019-133123,2019-09-11,2019-09-13
CA-2019-110023,2019-09-11,2019-09-11
CA-2019-133123,2019-09-11,2019-09-13
CA-2019-123932,2019-09-12,2019-09-13
CA-2019-164350,2019-09-12,2019-09-13
CA-2019-112893,2019-09-13,2019-09-16
CA-2019-121223,2019-09-13,2019-09-16
CA-2019-143476,2019-09-13,2019-09-13
CA-2019-143476,2019-09-13,2019-09-13
CA-2019-121223,2019-09-13,2019-09-16
US-2019-118780,2019-09-16,2019-09-18
CA-2019-146206,2019-09-16,2019-09-18
CA-2019-112277,2019-09-16,2019-09-18
CA-2019-165918,2019-09-16,2019-09-18
CA-2019-146206,2019-09-16,2019-09-18
CA-2019-165918,2019-09-16,2019-09-18
CA-2019-102162,2019-09-16,2019-09-18
