order_id,order_date,on_truck_scan_date,ship_mode
CA-2019-125206,2019-01-03,2019-01-07,Express
CA-2019-160304,2019-01-02,2019-01-09,Standard Processing
CA-2019-160304,2019-01-02,2019-01-09,Standard Processing
US-2019-116365,2019-01-03,2019-01-09,Standard Processing
US-2019-116365,2019-01-03,2019-01-09,Standard Processing
US-2019-116365,2019-01-03,2019-01-09,Standard Processing
CA-2019-105207,2019-01-03,2019-01-09,Standard Processing
CA-2019-105207,2019-01-03,2019-01-09,Standard Processing
CA-2019-158211,2019-01-04,2019-01-09,Standard Processing
CA-2019-158211,2019-01-04,2019-01-09,Standard Processing
CA-2019-134474,2019-01-05,2019-01-11,Standard Processing
CA-2019-134474,2019-01-05,2019-01-11,Standard Processing
CA-2019-134474,2019-01-05,2019-01-11,Standard Processing
US-2019-164630,2019-01-04,2019-01-11,Standard Processing
CA-2019-158806,2019-01-07,2019-01-14,Standard Processing
CA-2019-158806,2019-01-07,2019-01-14,Standard Processing
CA-2019-140746,2019-01-15,2019-01-16,Express
CA-2019-126543,2019-01-09,2019-01-16,Standard Processing
CA-2019-163937,2019-01-10,2019-01-16,Standard Processing
CA-2019-126529,2019-01-11,2019-01-16,Standard Processing
CA-2019-126529,2019-01-11,2019-01-16,Standard Processing
CA-2019-126529,2019-01-11,2019-01-16,Standard Processing
CA-2019-101938,2019-01-07,2019-01-16,Standard Processing
US-2019-100461,2019-01-08,2019-01-16,Standard Processing
US-2019-100461,2019-01-08,2019-01-16,Standard Processing
US-2019-137295,2019-01-08,2019-01-16,Standard Processing
US-2019-137295,2019-01-08,2019-01-16,Standard Processing
US-2019-137295,2019-01-08,2019-01-16,Standard Processing
CA-2019-108882,2019-01-09,2019-01-16,Standard Processing
CA-2019-108882,2019-01-09,2019-01-16,Standard Processing
CA-2019-141887,2019-01-11,2019-01-16,Standard Processing
CA-2019-166912,2019-01-15,2019-01-18,Express
CA-2019-116547,2019-01-10,2019-01-18,Standard Processing
CA-2019-116547,2019-01-10,2019-01-18,Standard Processing
CA-2019-121755,2019-01-16,2019-01-23,Standard Processing
CA-2019-121755,2019-01-16,2019-01-23,Standard Processing
CA-2019-133368,2019-01-14,2019-01-23,Standard Processing
CA-2019-133368,2019-01-14,2019-01-23,Standard Processing
CA-2019-152072,2019-01-15,2019-01-23,Standard Processing
CA-2019-152072,2019-01-15,2019-01-23,Standard Processing
CA-2019-152072,2019-01-15,2019-01-23,Standard Processing
CA-2019-137848,2019-01-15,2019-01-23,Standard Processing
CA-2019-137848,2019-01-15,2019-01-23,Standard Processing
