order_id,order_date,ship_mode,product_id
CA-2019-121755,2019-01-16,Second Class,TEC-AC-10003027
CA-2019-118255,2019-03-11,First Class,TEC-AC-10000171
CA-2019-169194,2019-06-20,Standard Class,TEC-AC-10002167
CA-2019-111682,2019-06-17,First Class,TEC-AC-10002167
CA-2018-135545,2018-11-24,Standard Class,TEC-AC-10004633
CA-2020-155558,2020-10-26,Standard Class,TEC-AC-10001998
CA-2019-158568,2019-08-29,Standard Class,TEC-AC-10001767
US-2018-156867,2018-11-13,Standard Class,TEC-AC-10001552
CA-2020-119004,2020-11-23,Standard Class,TEC-AC-10003499
CA-2018-129476,2018-10-15,Standard Class,TEC-AC-10000844
CA-2018-119697,2018-12-28,Second Class,TEC-AC-10003657
CA-2017-166191,2017-12-05,Second Class,TEC-AC-10004659
CA-2017-158274,2017-11-19,Second Class,TEC-AC-10002345
CA-2017-123260,2017-08-26,Standard Class,TEC-AC-10002323
CA-2018-101007,2018-02-09,Second Class,TEC-AC-10001266
CA-2018-146262,2018-01-02,Standard Class,TEC-AC-10000109
US-2020-100930,2020-04-07,Standard Class,TEC-AC-10003832
CA-2019-145625,2019-09-11,Standard Class,TEC-AC-10003832
CA-2020-163139,2020-12-01,Second Class,TEC-AC-10000290
CA-2018-155040,2018-11-10,Standard Class,TEC-AC-10004469
CA-2018-155334,2018-07-30,First Class,TEC-AC-10003628
CA-2018-130883,2018-09-26,Standard Class,TEC-AC-10001956
CA-2019-110772,2019-11-20,Second Class,TEC-AC-10002001
CA-2017-164973,2017-11-04,Standard Class,TEC-AC-10000892
CA-2019-162138,2019-04-23,Standard Class,TEC-AC-10001908
CA-2019-129714,2019-09-01,First Class,TEC-AC-10000290
US-2017-119137,2017-07-23,Standard Class,TEC-AC-10003911
US-2017-119137,2017-07-23,Standard Class,TEC-AC-10002076
CA-2018-125395,2018-06-26,Second Class,TEC-AC-10004708
US-2018-168935,2018-11-27,Standard Class,TEC-AC-10002335
CA-2020-101798,2020-12-11,Standard Class,TEC-AC-10001998
CA-2019-108987,2019-09-08,Second Class,TEC-AC-10000158
CA-2020-117457,2020-12-08,Standard Class,TEC-AC-10000158
CA-2017-142048,2017-06-22,First Class,TEC-AC-10004114
US-2019-123750,2019-04-15,Standard Class,TEC-AC-10004659
US-2019-123750,2019-04-15,Standard Class,TEC-AC-10004659
US-2017-150574,2017-12-19,Standard Class,TEC-AC-10002600
CA-2019-100153,2019-12-13,Standard Class,TEC-AC-10001772
CA-2018-109638,2018-12-15,Standard Class,TEC-AC-10004571
CA-2017-134677,2017-10-06,Standard Class,TEC-AC-10001445
CA-2017-127691,2017-07-22,Standard Class,TEC-AC-10002567
CA-2017-133753,2017-06-09,Second Class,TEC-AC-10000303
CA-2019-169166,2019-05-09,Standard Class,TEC-AC-10000991
CA-2020-135307,2020-11-26,First Class,TEC-AC-10002399
CA-2018-157812,2018-03-22,Standard Class,TEC-AC-10000171
US-2019-139486,2019-05-21,First Class,TEC-AC-10003832
CA-2017-140795,2017-02-01,First Class,TEC-AC-10001432
CA-2017-103849,2017-05-11,Standard Class,TEC-AC-10001465
CA-2017-135405,2017-01-09,Standard Class,TEC-AC-10001266
US-2019-135720,2019-12-11,Second Class,TEC-AC-10001267
CA-2020-144694,2020-09-24,Second Class,TEC-AC-10002857
CA-2020-106103,2020-06-10,Standard Class,TEC-AC-10003832
CA-2019-160745,2019-12-11,Second Class,TEC-AC-10001142
CA-2020-140844,2020-06-19,Standard Class,TEC-AC-10001101
CA-2020-130351,2020-12-05,First Class,TEC-AC-10003832
US-2020-119438,2020-03-18,Standard Class,TEC-AC-10003614
CA-2017-157784,2017-07-05,First Class,TEC-AC-10003911
CA-2018-131534,2018-03-28,Standard Class,TEC-AC-10002253
CA-2017-138527,2017-09-12,Standard Class,TEC-AC-10002399
CA-2017-112158,2017-12-02,First Class,TEC-AC-10003628
US-2020-100048,2020-05-19,Standard Class,TEC-AC-10001606
CA-2020-131954,2020-01-21,Standard Class,TEC-AC-10003610
CA-2017-132500,2017-09-08,Standard Class,TEC-AC-10001383
CA-2017-106803,2017-12-29,Standard Class,TEC-AC-10001267
CA-2017-162775,2017-01-13,Second Class,TEC-AC-10003174
US-2018-157014,2018-10-03,Second Class,TEC-AC-10002167
US-2018-157014,2018-10-03,Second Class,TEC-AC-10000057
CA-2018-140921,2018-02-03,First Class,TEC-AC-10004901
CA-2017-151995,2017-10-13,First Class,TEC-AC-10001101
CA-2020-143686,2020-05-14,First Class,TEC-AC-10001838
CA-2020-101434,2020-06-20,Standard Class,TEC-AC-10002402
US-2017-102071,2017-05-09,Standard Class,TEC-AC-10003441
US-2017-102071,2017-05-09,Standard Class,TEC-AC-10000109
CA-2017-107755,2017-02-07,Standard Class,TEC-AC-10000710
CA-2019-134474,2019-01-05,Second Class,TEC-AC-10001714
CA-2019-116736,2019-01-17,Standard Class,TEC-AC-10003628
CA-2019-116736,2019-01-17,Standard Class,TEC-AC-10002049
CA-2020-132934,2020-06-20,Standard Class,TEC-AC-10000927
CA-2020-137596,2020-09-02,Standard Class,TEC-AC-10004666
CA-2020-102519,2020-11-27,First Class,TEC-AC-10001772
CA-2018-111164,2018-04-11,Standard Class,TEC-AC-10002473
CA-2017-132962,2017-09-13,First Class,TEC-AC-10004353
US-2020-111745,2020-11-05,First Class,TEC-AC-10003911
CA-2018-124891,2018-07-31,First Class,TEC-AC-10003033
US-2018-126214,2018-12-21,Second Class,TEC-AC-10003198
CA-2019-102981,2019-09-06,Second Class,TEC-AC-10004761
CA-2017-139192,2017-05-27,Second Class,TEC-AC-10001606
CA-2019-134348,2019-11-12,Standard Class,TEC-AC-10003447
CA-2019-107216,2019-06-14,First Class,TEC-AC-10001013
CA-2020-140585,2020-12-18,Second Class,TEC-AC-10003610
CA-2018-142755,2018-09-04,Standard Class,TEC-AC-10002049
CA-2018-125416,2018-11-02,First Class,TEC-AC-10001552
CA-2019-168081,2019-04-24,Second Class,TEC-AC-10003174
CA-2019-130946,2019-04-08,Standard Class,TEC-AC-10001990
US-2020-118087,2020-09-09,Standard Class,TEC-AC-10004469
US-2020-118087,2020-09-09,Standard Class,TEC-AC-10003174
CA-2019-126004,2019-12-04,First Class,TEC-AC-10001432
